NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_TEMPO_ADICIONAL;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
1,90001E+11;2019;1501402;Belém;15;PA;14;M;1;1;1;1501402;Belém;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501402;Belém;15;PA;1;1;1;1;506;509;514;517;5761;6394;5969;6394;AECEBCDDEDEEBECCDCBBBABCDEBBDEBECBBDBDCECCCEE;ACACEEBCABCBBDBEAABDEAAECECADCEABDCBCBDBBEACE;EBBAD99999BACBEDEDEBDACDEDEEDEEDDDADBCDAACCAAAABCB;ABADBCEAAEEEDEEBAECAEDEAEDCEEEEACDEEEECEEEEEE;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;160;200;180;160;180;880;E;G;A;D;4;E;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
1,90001E+11;2019;1501402;Belém;15;PA;14;M;1;1;1;1501402;Belém;15;PA;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501402;Belém;15;PA;1;1;1;1;506;507;511;517;5793;6349;5926;7652;AECDABAEEBEBBDCCBABBBEBEBEAEBECB*EADBBCECDCDD;EABC*BABCBCCBCEEEECDCACDEDBCCAAAB*BBADBEBAADB;BDABE99999CCBAAADDBCDAAECAEECECCACAAEBAADDCABDCCDB;AAEDCBEEEBACDDABAECCCDBAEEDBBDCABADCBCCAEDCDA;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;120;120;140;80;580;F;F;D;E;6;P;D;D;D;B;B;B;B;B;B;B;A;B;D;B;A;E;B;B;B
1,90001E+11;2019;1504208;Marabá;15;PA;14;F;1;1;1;1504208;Marabá;15;PA;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1504208;Marabá;15;PA;1;1;1;1;506;507;511;517;382;505;5286;6497;AEAEACDEEBBEBDCADDABECBECDEDDEEBBADECDEBBCCDC;AEEAB*AEDADDACCBEACAEECCBBBBBABBCACEBCEBDABEB;*BB..99999DCB.ACDBECDABEABEEDCECCABAEBDAADEEDCCCEE;ABCBDBEEBBCCDCCBACCA*DDDCCBECECACEBCAAEBADAEB;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;140;120;140;120;640;E;E;D;D;3;G;B;D;D;C;A;B;B;B;A;B;A;A;B;A;B;C;A;C;B
1,90001E+11;2019;1502400;Castanhal;15;PA;13;F;1;3;1;1501402;Belém;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1502400;Castanhal;15;PA;1;1;1;1;503;509;514;515;4507;3811;5534;4438;AEADBCBDCCCCBDAEDBEACCCADBBDDBBEEBBDECEACDCCB;ADEBDBDEEDEABCCECAADBBBBEEBABCAEBBBDEADBCDBEE;99999AABDABACBCDECEBDAADBDACABEBDBAECCCADCECCAEEEC;ECADDDACABCDBBDDCDDAADBCBDEEDCACEBCDCBEBACCDC;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;160;120;140;120;80;620;B;D;B;B;4;B;A;A;A;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
1,90001E+11;2019;1502202;Capanema;15;PA;14;M;1;3;1;1502202;Capanema;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1502202;Capanema;15;PA;1;1;1;1;505;508;512;518;4618;4461;5229;4271;DABBBDCDDCECBDEDDCDEDA*EDCBCCBDAADEDDEADCDADE;ABAECBEDCDACBABBECAEBDDACEDADBECDAAECBDCECADB;CDABD99999BBABBEBECCCBDDECDCABD*ADDAADDBECAECACEBA;CBACBDDACDEBADBECBCADCCBECDECDAABBCEBEACDBCD.;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;100;120;120;120;120;580;F;E;D;C;4;C;B;C;D;B;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
1,90001E+11;2019;1501402;Belém;15;PA;14;F;1;3;1;1501402;Belém;15;PA;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501402;Belém;15;PA;1;1;1;1;503;510;513;515;3954;4708;5737;5333;ACADDCDDDCAACBEBDAAAADCAEDCBCABEABCDEEBDDABBC;EADCEEBDEBADDBACCEABDDEBEDBEEBDCAABBCB*ADBEBD;ADBCE99999EBBCACEACECDDADAAAEEEDECDDCBDEBEBCBDBCBB;EEABCDDCABAACDBACBDDAEAABAEDEBCBEAAAEDCACCBED;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;120;120;100;0;460;F;E;E;F;4;N;D;C;D;B;A;B;C;B;A;B;A;B;C;B;B;D;A;B;B
1,90001E+11;2019;1501501;Benevides;15;PA;14;F;1;3;1;1501402;Belém;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501501;Benevides;15;PA;1;1;1;1;506;507;511;517;5934;6451;6065;7078;DEDDADDAECBCDDEDACBBCACEAEABDEBDBDADAAEECBBCC;BABCABABCBDCBCEEEBCACACEEDBCBADBAAECADEDBDAEB;BDABE99999CDBABCABBCDAAECDABCECCACCDE*AAADEECCDEDB;AECABEEEEDABDBEBABCBADCCCEDEBCEACDDCADEBEBCEA;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;160;200;180;180;180;900;G;F;E;D;6;O;D;D;D;C;A;B;A;B;A;A;A;A;C;B;B;E;B;C;B
1,90001E+11;2019;1502152;Canaã dos Carajás;15;PA;14;F;1;3;1;1502152;Canaã dos Carajás;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1502152;Canaã dos Carajás;15;PA;1;1;1;1;504;508;512;516;4042;3905;4659;4852;DBCCEEAAAEBCEECBCACDCCEEBBACABCDCEECAACBABBBA;AAACDAECCADBCDABEECBADECDACBCDACDECABBDACED*E;99999BEBABACCBBDDECADCADBEDEACABAECAEDADBCCBEAEADA;DAABBCCADBBCBCBDABBDAEBBACBBAADCCBDEABDCEEABD;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;80;120;120;120;0;440;E;E;B;B;3;D;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;A;A
1,90001E+11;2019;1504208;Marabá;15;PA;14;F;1;1;1;1504208;Marabá;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1504208;Marabá;15;PA;1;1;1;1;504;509;514;516;5003;5142;5283;4957;CBBAEDEECCDDEADABCBDCBBEDDCBBBBBBBDEABDBCADAE;ECBEDBACABCACBBAEBBDDBEBCCDABCABBADCEEDABDABE;99999ACCEBBACDCEADEBEACDEDDBBECDDABBDDCACDCEDCEAAD;BABDEDEAEDBBBECCADDDCBCBAADCAEBCCAABBBBDAEBDC;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;140;120;160;160;700;D;D;E;E;3;N;A;E;D;B;B;B;A;B;A;A;A;A;C;A;A;D;A;A;A
1,90001E+11;2019;1500800;Ananindeua;15;PA;14;F;1;3;1;1501402;Belém;15;PA;4;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500800;Ananindeua;15;PA;1;1;1;1;503;510;513;515;5351;5873;5965;5469;AEECDCEEDDCBDDBCCDBEDEBDBAAEDBDEADEBBCBCECADA;EEECCEDBADBBCBAEEEABAAEACCBECDDDCACADEDBCBACA;99999DAABDABBABCCAEECEDDADAAECACEEDCCEDEBABCEDBECC;DDAECCEACEACADBACEDEDCBBCBDECEACEEECAAACDDCEB;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;160;160;180;200;160;860;D;E;D;D;4;J;A;B;C;B;A;B;A;B;A;B;B;A;C;A;A;C;A;B;B
